,id,username,context,time,source,href,judge
240,3926649415,junjun紫月,"#河南暴雨# 暴雨洪灾带来的不仅是危险，还会破坏自来水管网系统、下水道系统、污水处理厂、垃圾填埋场、堆肥场等等，导致细菌、病毒、寄生虫等随着洪水的蔓延而扩散，给大家的健康带来不少隐患。
雨灾过后防疫情！
这些身体养护小常识，一定要收藏！！",07月24日 22:58,nova7Pro你在焦点在,https://weibo.com/3926649415?refer_flag=1001030103_,假
242,3231305840,依然潇萧,"#张哲瀚美宝莲纽约品牌代言人# zzh#美宝莲小红线#
原本以为会是一场暴雨来临，结果艳阳高照溜达着吃了一顿清清淡淡的晚饭，虽然有点手忙脚乱，不过还是顺利抢到了礼盒a
就是要狠狠地爱老婆恭喜张哲瀚成为美宝莲纽约品牌代言人@张哲瀚疯子",07月24日 22:58,张哲瀚超话,https://weibo.com/3231305840?refer_flag=1001030103_,假
249,7465923463,咱可能不配,//@养身进行时:#新乡暴雨求助#,07月24日 22:16,华为畅享10 Plus,https://weibo.com/7465923463?refer_flag=1001030103_,假
251,3139679684,橙橙的慕橙,//@旺仔949:#河南暴雨互助# 找人//@宝塔山24小时祈福便利店:#河南暴雨互助# #河南暴雨救援# 救救邹德强和沙涛！！好多天了！,07月24日 19:46,nova4自拍极点全面屏,https://weibo.com/3139679684?refer_flag=1001030103_,假
252,6387156597,胖兔_LL,"#南京疫情# 江宁区第二轮核酸晚上九点开始……小区里马路上几里路都看不到头的队伍……赶在明天暴雨前做好全员第二轮！南京加油！
老头老奶们先，大爷大妈们跟后，做好回家睡觉，我们年轻人能熬，深夜再做………… 2南京 L腿哥LL的微博视频",07月24日 22:58,iPhone客户端,https://weibo.com/6387156597?refer_flag=1001030103_,假
253,6416852296,用户6416852296,"#河南暴雨互助#⚠️ 大家好，我是线上志愿者，负责收集求救信息以及物资供应信息‼️大家可以向我投稿‼️

投稿格式：
地址：
姓名：
联系电话：
求救人数：
目前情况：

我们会有志愿者审核并联系求助人
并尽力帮你们寻找物资并进行物资对接或者救援队 ❗️❗️ 有需要帮助的可以艾特我或者私信我❗️❗️

（私信太多可能回复不过来，会尽快帮忙！） ",07月24日 22:58,nova7你在焦点在,https://weibo.com/6416852296?refer_flag=1001030103_,真
254,7643230893,Mascot_009,Nine120//@国服哨子精:#河南暴雨互助# 愿大家都平安🙏🙏,07月21日 01:46,iPhone,https://weibo.com/7643230893?refer_flag=1001030103_,假
255,5100009622,陇南宕昌赵文明,《百度极速版》有事搜一搜，没事看一看O暴雨中，这些画面看哭了…… 《暴雨中，这些画面看哭了……》有事搜一搜，没事看一看O暴雨中，这些画面看哭了……,07月24日 22:58,百度极速版,https://weibo.com/5100009622?refer_flag=1001030103_,假
256,5165185726,宇宙废物格-纯黑的白衬衣,#浙江预排预泄116个西湖水量# 台风“烟花”步步逼近浙江沿海，最大可能于 25日下午至25日夜间在浙江中北部一带沿海登陆。大风暴雨已在很多县市横行肆虐。相比早上，浙江山洪红色预警范围扩大，浙江28个县（市、区）山洪灾害可能性很大。截至24日16时，浙江沿海各平原累计预排水量7.0亿方，全省大中型水库预泄水量9.23亿方，水利工程累计预排预泄16.23亿方，大约相当于116个西湖水量。#杭州台风# #浙战烟花# #台风# O网页链接 ,07月24日 18:02,微博 weibo.com,https://weibo.com/5165185726?refer_flag=1001030103_,假
262,7386662805,今泰哼,#浙江暴雨互助#//@Jayrw:#绍兴暴雨# #浙江暴雨互助# 我浙江日常自救,07月24日 16:19,iPhone客户端,https://weibo.com/7386662805?refer_flag=1001030103_,假
265,5125170483,名校小贴士,"#孙一文夺得第三金#恭喜🥳🥳🥳
当国歌响起时，触景生情
脑海中响起艾青写的《我爱这土地》
“为什么我的眼里常含泪水”
“因为我对这土地爱大深沉”
在歌声中想起疫情、河南暴雨、台风“烟花”中的逆行者，心中不禁感慨，身在华夏真的很幸福
中国yyds",07月24日 22:58,nova7你在焦点在,https://weibo.com/5125170483?refer_flag=1001030103_,假
271,7048045769,柚子茶19980707,"#刘宇0824生日快乐# 🎉#爱豆能量月#

人生难免要受些委屈和伤害，与其耿耿于怀郁郁寡欢，倒不如坦坦荡荡泰然处之。只有经受住狂风暴雨的洗礼，才能练就波澜不惊的淡定。

爱刘宇@INTO1-刘宇

🎊🎊",07月24日 22:58,刘宇粉丝超话,https://weibo.com/7048045769?refer_flag=1001030103_,假
273,6507203142,爱啵啵的小怡___15,//@TF反黑净化组:#河南暴雨互助# 【求助贴】‼️河南省周口市❗️扶沟县曹里乡邹家村 ❗️被淹❗️,07月24日 19:02,Android客户端,https://weibo.com/6507203142?refer_flag=1001030103_,假
275,7287750933,一咪阳光575,//@nili火火:#河南暴雨互助# #河南暴雨救援# 新乡敬老院急缺各种物资！求援！,07月24日 12:11,vivo X23 AI非凡摄影,https://weibo.com/7287750933?refer_flag=1001030103_,假
276,2942884515,养一個月亮ll,//@鹤南鹰眼://@大大娇娇屁:⚠️//@Aurora·For·You:#河南暴雨互助# ‼️ 需要挖掘机，沙袋，沙子和人员救助‼️,07月24日 22:24,Android,https://weibo.com/2942884515?refer_flag=1001030103_,假
277,1785270285,松卷菜菜子,#河南暴雨互助超话#,07月24日 19:46,iPhone客户端,https://weibo.com/1785270285?refer_flag=1001030103_,假
279,6219973236,KimHooInm,今天中午就这样了一直压………#萧山暴雨# 🙏,07月24日 13:41,iPhone 11,https://weibo.com/6219973236?refer_flag=1001030103_,假
284,5443843544,不好好念书会肚子痛,转转 #郑州暴雨# 是丈夫 是爸爸 也是儿子,07月24日 19:46,iPhone客户端,https://weibo.com/5443843544?refer_flag=1001030103_,假
285,5664751278,霹雳静静11,扩#河南暴雨救援#,07月24日 22:30,iPad Pro,https://weibo.com/5664751278?refer_flag=1001030103_,假
288,7277231203,阿弥玖,//@55bokii:#河南暴雨互助# 寻人寻人‼️//@我长不高了长不高了:寻人！//@鹤南辣个老肖:寻人//@95·博君一肖:寻人❗️❗️❗️#河南暴雨互助#,07月24日 09:53,HUAWEI P30,https://weibo.com/7277231203?refer_flag=1001030103_,假
290,5409541018,数学放过我好吗,#河南暴雨互助# 在干什么啊,07月24日 19:46,微博国际版,https://weibo.com/5409541018?refer_flag=1001030103_,假
293,5772612858,送我一朵小红花8888,"风雨过后会有彩虹🌈
鲜花依旧盛放，未来依旧可期
#鹤壁浚县急需物资##鹤壁暴雨互助#",07月24日 22:57,HUAWEI P20,https://weibo.com/5772612858?refer_flag=1001030103_,假
295,1656737654,现代快报,【直击丨#河南新乡部分受灾村民已被临时安置# 救援物资正源源不断运来】近日，河南新乡市继郑州之后，遭遇特大暴雨袭击，不少村庄被淹，村民家庭受损严重，灾后救援安置成了大家关注的焦点。7月24日，记者实探了新乡市的多处临时安置点。每个临时安置点都堆放了很多救援物资，各种生活用品一应俱全。为了方便分发派送，学校老师及周边小区志愿者，还专门将这些物品分门别类，整齐摆放，并有专门负责人现场看管登记。O直击 | 河南新乡部分受灾村民已被临时安置，救援物资正源源不断运来 L现代快报的微博视频 ,07月24日 22:58,微博视频号,https://weibo.com/1656737654?refer_flag=1001030103_,真
